code,name,sector
6952,カシオ計算機,精密機器
6954,ファナック,電気機器
6971,京セラ,電気機器
6976,太陽誘電,電気機器
6981,村田製作所,電気機器
6988,日東電工,化学
7003,三井E&Sホールディングス,輸送用機器
7011,三菱重工業,機械
7012,川崎重工業,輸送用機器
7013,IHI,機械
7186,コンコルディア・フィナンシャルグループ,銀行業
7201,日産自動車,輸送用機器
7202,いすゞ自動車,輸送用機器
7203,トヨタ自動車,輸送用機器
7205,日野自動車,輸送用機器
7211,三菱自動車工業,輸送用機器
7261,マツダ,輸送用機器
7267,ホンダ,輸送用機器
7269,スズキ,輸送用機器
7270,SUBARU,輸送用機器
7272,ヤマハ発動機,輸送用機器
7731,ニコン,精密機器
7733,オリンパス,精密機器
7735,SCREENホールディングス,電気機器
7741,HOYA,精密機器
7751,キヤノン,電気機器
7752,リコー,電気機器
7832,バンダイナムコホールディングス,その他製品
7911,凸版印刷,その他製品
7912,大日本印刷,その他製品
7951,ヤマハ,その他製品
7974,任天堂,その他製品
8001,伊藤忠商事,卸売業
8002,丸紅,卸売業
8015,豊田通商,卸売業
8031,三井物産,卸売業
8035,東京エレクトロン,電気機器
8053,住友商事,卸売業
8058,三菱商事,卸売業
8151,東陽テクニカ,卸売業
8267,イオン,小売業
8306,三菱UFJフィナンシャル・グループ,銀行業
8308,りそなホールディングス,銀行業
8309,三井住友トラスト・ホールディングス,銀行業
8316,三井住友フィナンシャルグループ,銀行業
8331,千葉銀行,銀行業
8354,ふくおかフィナンシャルグループ,銀行業
8411,みずほフィナンシャルグループ,銀行業
8591,オリックス,その他金融業
8601,大和証券グループ本社,証券・商品先物取引業
8604,野村ホールディングス,証券・商品先物取引業
8630,SOMPOホールディングス,保険業
8697,日本取引所グループ,その他金融業
8725,MS&ADインシュアランスグループホールディングス,保険業
8750,第一生命ホールディングス,保険業
8766,東京海上ホールディングス,保険業
8795,T&Dホールディングス,保険業
8801,三井不動産,不動産業
8802,三菱地所,不動産業
8804,東京建物,不動産業
8830,住友不動産,不動産業
9001,東武鉄道,陸運業
9005,東急,陸運業
9007,小田急電鉄,陸運業
9008,京王電鉄,陸運業
9009,京成電鉄,陸運業
9020,東日本旅客鉄道,陸運業
9021,西日本旅客鉄道,陸運業
9022,東海旅客鉄道,陸運業
9064,ヤマトホールディングス,陸運業
9101,日本郵船,海運業
9104,商船三井,海運業
9107,川崎汽船,海運業
9201,日本航空,空運業
9202,ANAホールディングス,空運業
9432,日本電信電話,情報・通信業
9433,KDDI,情報・通信業
9434,ソフトバンク,情報・通信業
9501,東京電力ホールディングス,電気・ガス業
9502,中部電力,電気・ガス業
9503,関西電力,電気・ガス業
9531,東京瓦斯,電気・ガス業
9532,大阪瓦斯,電気・ガス業
9613,NTTデータグループ,情報・通信業
9735,セコム,サービス業
9766,コナミグループ,情報・通信業
9843,ニトリホールディングス,小売業
9983,ファーストリテイリング,小売業
9984,ソフトバンクグループ,情報・通信業
